run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,cache_creation_input_tokens,cache_read_input_tokens,cost_usd,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260504T060510Z,2026-05-04T06:05:12.337028+00:00,observational,pc,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,29.909576,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260504T060510Z,2026-05-04T06:05:42.281711+00:00,active,pc_greedy,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,0.01323,0,0,0,0,0,0.0,3,0,3,1,3,2,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260504T060510Z,2026-05-04T06:05:42.322264+00:00,active,llm_raw,claude-haiku-4-5-20251001,0,1276453582,12764535820007,4,3,50,25,0.5,2,failed,"BadRequestError: litellm.BadRequestError: AnthropicException - {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cah2TgkgQom5UbFALkZPu""}",27.107387,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260504T060510Z,2026-05-04T06:06:09.463834+00:00,active,llm_stats,claude-haiku-4-5-20251001,0,1276453582,12764535820007,4,3,50,25,0.5,2,failed,"BadRequestError: litellm.BadRequestError: AnthropicException - {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cah2TiqCT4RLU2cmDBvRN""}",0.341639,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260504T060510Z,2026-05-04T06:06:09.835448+00:00,active,pc_cpdag_llm,claude-haiku-4-5-20251001,0,1276453582,12764535820007,4,3,50,25,0.5,2,failed,"BadRequestError: litellm.BadRequestError: AnthropicException - {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cah2TkWexgtxmGPMTaVmm""}",0.364136,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260504T060510Z,2026-05-04T06:06:10.255844+00:00,active,llm_stats_cpdag_greedy,claude-haiku-4-5-20251001,0,1276453582,12764535820007,4,3,50,25,0.5,2,failed,"BadRequestError: litellm.BadRequestError: AnthropicException - {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cah2TnH4xQivfkURo4SFV""}",0.366635,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
20260504T060510Z,2026-05-04T06:06:10.655629+00:00,active,oracle,baseline,0,1276453582,12764535820007,4,3,50,25,0.5,2,success,,0.000696,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260504T060510Z,2026-05-04T06:06:10.694177+00:00,observational,pc,baseline,0,27998312,279983120007,4,3,50,25,0.5,2,success,,0.027084,0,0,0,0,0,0.0,3,0,3,1,3,0,0,0,0,0,0,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,1.0
20260504T060510Z,2026-05-04T06:06:10.759356+00:00,active,pc_greedy,baseline,0,27998312,279983120007,4,3,50,25,0.5,2,success,,0.020288,0,0,0,0,0,0.0,3,0,3,1,3,2,0,0,0,0,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5
20260504T060510Z,2026-05-04T06:06:10.822515+00:00,active,llm_raw,claude-haiku-4-5-20251001,0,27998312,279983120007,4,3,50,25,0.5,2,failed,"BadRequestError: litellm.BadRequestError: AnthropicException - {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.""},""request_id"":""req_011Cah2Tpq7HGADsrF2yWHoc""}",0.411209,,,,,,,3,0,3,1,3,,,,,,,,,,,,,,,,,,,
